file,uniq_changes,developers,age
servers/src/main/java/tachyon/worker/block/ClientRWLock.java,9,5,5018278.0
servers/src/main/java/tachyon/worker/block/BlockStoreLocation.java,31,11,643679.0
servers/src/main/java/tachyon/worker/block/meta/StorageDir.java,143,10,246839.0
servers/src/main/java/tachyon/worker/block/BlockHeartbeatReport.java,13,5,1446737.0
servers/src/main/java/tachyon/web/UIWebServer.java,63,7,383705.0
servers/src/main/java/tachyon/master/file/options/MkdirOptions.java,3,2,1864996.0
servers/src/main/java/tachyon/master/journal/JournalEntryType.java,43,7,1396948.0
servers/src/main/java/tachyon/worker/block/evictor/EvictorUtils.java,17,7,1964365.0
servers/src/main/java/tachyon/worker/block/evictor/Evictor.java,26,10,2918202.0
servers/src/main/java/tachyon/master/file/meta/InodeFile.java,40,10,776347.0
servers/src/main/java/tachyon/web/WebInterfaceDownloadLocalServlet.java,9,5,1247244.0
servers/src/main/java/tachyon/master/lineage/LineageMaster.java,66,7,246839.0
servers/src/main/java/tachyon/worker/block/BlockLockManager.java,57,13,2918202.0
servers/src/main/java/tachyon/master/journal/JournalWriter.java,37,8,383705.0
servers/src/main/java/tachyon/master/file/meta/Inode.java,19,8,643679.0
servers/src/main/java/tachyon/web/WebInterfaceDownloadServlet.java,37,11,727196.0
servers/src/main/java/tachyon/master/file/journal/DeleteFileEntry.java,7,4,1646506.0
servers/src/main/java/tachyon/master/file/journal/InodeEntry.java,10,6,1244716.0
servers/src/main/java/tachyon/metrics/MetricsConfig.java,9,3,1881322.0
servers/src/main/java/tachyon/StorageLevelAlias.java,12,4,1964365.0
servers/src/main/java/tachyon/Sessions.java,9,5,383705.0
servers/src/main/java/tachyon/SessionInfo.java,2,2,643679.0
servers/src/main/java/tachyon/master/rawtable/journal/RawTableEntry.java,6,6,1643863.0
servers/src/main/java/tachyon/worker/block/meta/StorageTierView.java,12,9,1964365.0
servers/src/main/java/tachyon/master/block/BlockMasterServiceHandler.java,10,4,1964365.0
servers/src/main/java/tachyon/master/MasterContext.java,8,3,1517023.0
servers/src/main/java/tachyon/web/WebInterfaceWorkerGeneralServlet.java,19,8,1446737.0
servers/src/main/java/tachyon/master/file/journal/InodeDirectoryEntry.java,15,9,1168585.0
servers/src/main/java/tachyon/worker/block/evictor/EvictionDirCandidates.java,8,4,2895876.0
servers/src/main/java/tachyon/worker/block/meta/BlockMeta.java,20,5,4916376.0
servers/src/main/java/tachyon/worker/block/BlockWorker.java,96,21,730971.0
servers/src/main/java/tachyon/master/block/BlockContainerIdGenerator.java,3,2,5448644.0
servers/src/main/java/tachyon/master/file/meta/InodeDirectoryIdGenerator.java,6,3,5448644.0
servers/src/main/java/tachyon/worker/block/allocator/Allocator.java,20,9,2918202.0
servers/src/main/java/tachyon/master/file/meta/options/CreatePathOptions.java,5,3,776347.0
servers/src/main/java/tachyon/worker/block/PinListSync.java,29,14,383705.0
servers/src/main/java/tachyon/worker/block/meta/TempBlockMeta.java,9,3,5506455.0
servers/src/main/java/tachyon/worker/netty/ClosableResourceChannelListener.java,8,4,15629149.0
servers/src/main/java/tachyon/worker/block/BlockMasterSync.java,83,20,246839.0
servers/src/main/java/tachyon/web/WebInterfaceBrowseLogsServlet.java,21,6,1689224.0
servers/src/main/java/tachyon/worker/block/BlockMetricsReporter.java,15,8,1446737.0
servers/src/main/java/tachyon/metrics/sink/MetricsServlet.java,6,4,1772912.0
servers/src/main/java/tachyon/worker/block/evictor/EvictorBase.java,14,9,1964365.0
servers/src/main/java/tachyon/master/rawtable/RawTableMasterServiceHandler.java,10,6,1769807.0
servers/src/main/java/tachyon/worker/block/evictor/EvictionPlan.java,13,5,3613960.0
servers/src/main/java/tachyon/worker/block/io/LocalFileBlockReader.java,10,5,727196.0
servers/src/main/java/tachyon/master/rawtable/RawTableMaster.java,52,7,383705.0
servers/src/main/java/tachyon/worker/block/BlockHeartbeatReporter.java,25,6,1964365.0
servers/src/main/java/tachyon/master/journal/JsonJournalFormatter.java,46,11,1646506.0
servers/src/main/java/tachyon/web/MasterUIWebServer.java,15,6,5448644.0
servers/src/main/java/tachyon/worker/DataServer.java,61,6,8031128.0
servers/src/main/java/tachyon/worker/netty/PipelineHandler.java,24,4,10868031.0
servers/src/main/java/tachyon/master/file/options/CreateOptions.java,4,3,776347.0
servers/src/main/java/tachyon/web/WebInterfaceMemoryServlet.java,37,7,1874843.0
servers/src/main/java/tachyon/worker/block/meta/BlockMetaBase.java,15,7,1964365.0
servers/src/main/java/tachyon/master/journal/JournalFormatter.java,10,3,5075091.0
servers/src/main/java/tachyon/master/file/journal/CompleteFileEntry.java,6,4,1646506.0
servers/src/main/java/tachyon/master/MasterSource.java,13,5,3005128.0
servers/src/main/java/tachyon/master/TachyonMaster.java,172,15,383705.0
servers/src/main/java/tachyon/master/file/journal/PersistFileEntry.java,6,3,1628926.0
servers/src/main/java/tachyon/worker/block/BlockDataManager.java,159,23,1964365.0
servers/src/main/java/tachyon/worker/WorkerContext.java,7,3,1517023.0
servers/src/main/java/tachyon/master/block/meta/MasterWorkerInfo.java,24,7,383705.0
