file,uniq_changes,developers,age
hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/RegionServerServices.java,83,28,3084101.0
hbase-server/src/main/java/org/apache/hadoop/hbase/quotas/SpaceQuotaSnapshotNotifierFactory.java,3,3,42033440.0
hbase-server/src/main/java/org/apache/hadoop/hbase/coprocessor/MetaTableMetrics.java,5,3,6488392.0
hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/handler/CloseMetaHandler.java,14,7,52078385.0
hbase-server/src/main/java/org/apache/hadoop/hbase/util/FSVisitor.java,11,11,45072896.0
hbase-server/src/main/java/org/apache/hadoop/hbase/master/procedure/ServerQueue.java,4,3,11955447.0
hbase-server/src/main/java/org/apache/hadoop/hbase/wal/WAL.java,29,13,29721842.0
hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/SplitLogWorker.java,66,19,11955447.0
hbase-server/src/main/java/org/apache/hadoop/hbase/util/compaction/MajorCompactorTTL.java,1,1,5010384.0
hbase-server/src/main/java/org/apache/hadoop/hbase/master/MasterRpcServices.java,196,50,804790.0
hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/Region.java,56,22,30255478.0
hbase-server/src/main/java/org/apache/hadoop/hbase/ipc/SimpleRpcScheduler.java,51,26,8083900.0
hbase-server/src/main/java/org/apache/hadoop/hbase/io/hfile/HFileWriterImpl.java,24,17,15206321.0
hbase-server/src/main/java/org/apache/hadoop/hbase/master/LoadBalancer.java,60,17,19638063.0
hbase-server/src/main/java/org/apache/hadoop/hbase/io/MetricsIOWrapperImpl.java,2,2,37132955.0
hbase-server/src/main/java/org/apache/hadoop/hbase/io/hfile/LruCachedBlock.java,5,5,42033440.0
hbase-server/src/main/java/org/apache/hadoop/hbase/wal/WALEdit.java,56,8,11821688.0
hbase-server/src/main/java/org/apache/hadoop/hbase/replication/regionserver/HBaseInterClusterReplicationEndpoint.java,40,26,14228330.0
hbase-server/src/main/java/org/apache/hadoop/hbase/security/visibility/ExpressionExpander.java,3,3,55533934.0
hbase-server/src/main/java/org/apache/hadoop/hbase/master/balancer/MetricsStochasticBalancer.java,3,3,21420840.0
hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/SecureBulkLoadManager.java,24,15,8629405.0
hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/wal/WALClosedException.java,1,1,34192652.0
hbase-server/src/main/java/org/apache/hadoop/hbase/master/replication/RemovePeerProcedure.java,8,3,30893667.0
hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/CustomizedScanInfoBuilder.java,2,2,41126528.0
hbase-server/src/main/java/org/apache/hadoop/hbase/quotas/RegionServerSpaceQuotaManager.java,10,6,38886761.0
hbase-server/src/main/java/org/apache/hadoop/hbase/security/visibility/DefinedSetFilterScanLabelGenerator.java,5,4,45072896.0
hbase-server/src/main/java/org/apache/hadoop/hbase/wal/LogRecoveredEditsOutputSink.java,1,1,0.0
hbase-server/src/main/java/org/apache/hadoop/hbase/util/compaction/MajorCompactionTTLRequest.java,1,1,5010384.0
hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/FlushPolicyFactory.java,6,6,3515730.0
hbase-server/src/main/java/org/apache/hadoop/hbase/replication/NamespaceTableCfWALEntryFilter.java,10,7,37716800.0
hbase-server/src/main/java/org/apache/hadoop/hbase/master/replication/TransitPeerSyncReplicationStateProcedure.java,15,3,1771527.0
hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/compactions/OffPeakHours.java,7,5,45072896.0
hbase-server/src/main/java/org/apache/hadoop/hbase/replication/regionserver/PeerProcedureHandlerImpl.java,9,3,33331071.0
hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/handler/WALSplitterHandler.java,7,6,45072896.0
hbase-server/src/main/java/org/apache/hadoop/hbase/util/hbck/TableIntegrityErrorHandlerImpl.java,4,3,37132955.0
hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/FlushPolicy.java,3,2,53573929.0
hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/MemStoreCompactionStrategy.java,7,3,31300318.0
hbase-server/src/main/java/org/apache/hadoop/hbase/procedure/RegionServerProcedureManager.java,6,4,55533934.0
hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/MobStoreScanner.java,7,5,52412830.0
hbase-server/src/main/java/org/apache/hadoop/hbase/master/MasterStatusServlet.java,23,10,14730950.0
hbase-server/src/main/java/org/apache/hadoop/hbase/master/cleaner/HFileCleaner.java,25,14,18089421.0
hbase-server/src/main/java/org/apache/hadoop/hbase/master/procedure/CreateTableProcedure.java,45,19,8532333.0
hbase-server/src/main/java/org/apache/hadoop/hbase/replication/regionserver/ReplicationLoad.java,12,9,14228330.0
hbase-server/src/main/java/org/apache/hadoop/hbase/master/procedure/MasterProcedureEnv.java,26,7,17850757.0
hbase-server/src/main/java/org/apache/hadoop/hbase/security/visibility/expression/NonLeafExpressionNode.java,6,5,42033440.0
hbase-server/src/main/java/org/apache/hadoop/hbase/quotas/QuotaState.java,7,4,55533934.0
hbase-server/src/main/java/org/apache/hadoop/hbase/util/JVMClusterUtil.java,48,13,15153873.0
hbase-server/src/main/java/org/apache/hadoop/hbase/conf/ConfigurationManager.java,6,6,42033440.0
