file,uniq_changes,developers,age
modules/core/src/main/java/org/apache/ignite/internal/processors/marshaller/MappingAcceptedMessage.java,2,2,6650601.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/persistence/IgniteCacheDatabaseSharedManager.java,131,10,5980828.0
modules/core/src/main/java/org/apache/ignite/internal/util/future/GridFinishedFuture.java,39,6,23590485.0
modules/core/src/main/java/org/apache/ignite/internal/util/GridSetWrapper.java,17,2,74646911.0
modules/core/src/main/java/org/apache/ignite/internal/util/tostring/GridToStringFieldDescriptor.java,1,3,93725547.0
modules/core/src/main/java/org/apache/ignite/internal/managers/deployment/GridDeployment.java,32,5,74646911.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cacheobject/NoOpBinary.java,6,4,19880973.0
modules/core/src/main/java/org/apache/ignite/internal/processors/igfs/IgfsUtils.java,37,8,23072233.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheMvccCandidate.java,32,7,32929991.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/CacheObjectsReleaseFuture.java,1,1,15307165.0
modules/core/src/main/java/org/apache/ignite/internal/managers/discovery/GridDiscoveryManager.java,314,41,158733.0
modules/core/src/main/java/org/apache/ignite/spi/failover/always/AlwaysFailoverSpi.java,40,12,14748582.0
modules/core/src/main/java/org/apache/ignite/internal/managers/deployment/GridDeploymentStoreAdapter.java,20,3,73402001.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/near/GridNearGetResponse.java,68,11,18936186.0
modules/core/src/main/java/org/apache/ignite/configuration/DeploymentMode.java,24,2,74646911.0
modules/core/src/main/java/org/apache/ignite/internal/mxbean/IgniteStandardMXBean.java,4,4,29725497.0
modules/core/src/main/java/org/apache/ignite/configuration/DataRegionConfiguration.java,2,2,6675604.0
modules/core/src/main/java/org/apache/ignite/internal/util/StripedCompositeReadWriteLock.java,5,5,14524768.0
modules/core/src/main/java/org/apache/ignite/internal/GridKernalContextImpl.java,121,27,8578223.0
modules/core/src/main/java/org/apache/ignite/internal/events/DiscoveryCustomEvent.java,6,5,74646911.0
modules/core/src/main/java/org/apache/ignite/internal/util/nio/GridNioSessionMetaKey.java,9,5,26260159.0
modules/core/src/main/java/org/apache/ignite/internal/binary/BinaryInternalMapper.java,1,1,61338276.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/transactions/TransactionMetricsAdapter.java,2,2,74646911.0
modules/core/src/main/java/org/apache/ignite/internal/processors/service/GridServiceProcessor.java,247,33,1913475.0
modules/core/src/main/java/org/apache/ignite/internal/util/lang/gridfunc/CacheEntryGetValueClosure.java,1,1,24771614.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/near/GridNearTxFastFinishFuture.java,1,1,9609383.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/dr/GridOsCacheDrManager.java,30,5,48308839.0
modules/core/src/main/java/org/apache/ignite/spi/IgniteSpiAdapter.java,123,24,15647050.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/tree/SearchRow.java,1,1,11067373.0
modules/core/src/main/java/org/apache/ignite/internal/processors/resource/GridResourceServiceInjector.java,20,3,74646911.0
modules/core/src/main/java/org/apache/ignite/internal/managers/communication/GridIoManager.java,166,26,9078109.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/near/IgniteTxMappingsSingleImpl.java,2,1,26256290.0
modules/core/src/main/java/org/apache/ignite/internal/processors/datastreamer/DataStreamProcessor.java,29,16,12366895.0
modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java,160,36,102799.0
modules/core/src/main/java/org/apache/ignite/internal/util/lang/gridfunc/ConcurrentHashSetFactoryCallable.java,1,1,24771614.0
modules/core/src/main/java/org/apache/ignite/logger/NullLogger.java,9,3,3111319.0
modules/core/src/main/java/org/apache/ignite/internal/binary/streams/BinaryAbstractStream.java,6,2,63164617.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/GridDistributedLockResponse.java,65,10,25069349.0
modules/core/src/main/java/org/apache/ignite/marshaller/jdk/JdkMarshallerObjectOutputStream.java,2,2,74646911.0
modules/core/src/main/java/org/apache/ignite/spi/discovery/tcp/messages/TcpDiscoveryJoinRequestMessage.java,11,6,30850290.0
modules/core/src/main/java/org/apache/ignite/internal/managers/failover/GridFailoverManager.java,23,6,18470563.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridNoStorageCacheMap.java,12,4,18936186.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/extras/GridCacheObsoleteEntryExtras.java,18,4,43554305.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/dht/atomic/GridDhtAtomicAbstractUpdateFuture.java,11,5,12366895.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/CacheGroupContext.java,11,5,3640941.0
modules/core/src/main/java/org/apache/ignite/internal/transactions/IgniteTxHeuristicCheckedException.java,2,2,74646911.0
modules/core/src/main/java/org/apache/ignite/spi/indexing/noop/NoopIndexingSpi.java,7,5,20116724.0
modules/core/src/main/java/org/apache/ignite/internal/processors/affinity/HistoryAffinityAssignment.java,2,2,2579372.0
modules/core/src/main/java/org/apache/ignite/internal/IgniteDiagnosticPrepareContext.java,3,2,14433898.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/tree/CacheDataRowStore.java,2,1,11065090.0
modules/core/src/main/java/org/apache/ignite/internal/processors/service/LazyServiceConfiguration.java,1,1,52084153.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/dht/preloader/GridDhtPartitionExchangeId.java,47,9,12366895.0
modules/core/src/main/java/org/apache/ignite/internal/processors/service/GridServiceDeployment.java,12,3,74646911.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheContext.java,326,30,1903708.0
modules/core/src/main/java/org/apache/ignite/internal/util/GridListSet.java,15,2,74646911.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/dht/GridPartitionedSingleGetFuture.java,58,13,1903708.0
modules/core/src/main/java/org/apache/ignite/internal/util/IgniteTree.java,7,4,6029960.0
modules/core/src/main/java/org/apache/ignite/internal/util/nio/GridNioFilterAdapter.java,5,2,26260159.0
modules/core/src/main/java/org/apache/ignite/internal/managers/deployment/GridDeploymentManager.java,48,7,18470563.0
modules/core/src/main/java/org/apache/ignite/internal/processors/plugin/IgnitePluginProcessor.java,39,14,18470563.0
modules/core/src/main/java/org/apache/ignite/marshaller/jdk/JdkMarshallerInputStreamWrapper.java,2,2,74646911.0
modules/core/src/main/java/org/apache/ignite/internal/processors/task/GridTaskThreadContextKey.java,12,4,3219229.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/affinity/GridCacheAffinityImpl.java,44,8,18936186.0
modules/core/src/main/java/org/apache/ignite/internal/IgniteInterruptedCheckedException.java,2,2,74646911.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/tree/PendingEntryLeafIO.java,2,1,11065090.0
modules/core/src/main/java/org/apache/ignite/internal/managers/communication/GridIoMessage.java,46,8,13381620.0
modules/core/src/main/java/org/apache/ignite/IgniteInterruptedException.java,2,1,93148874.0
modules/core/src/main/java/org/apache/ignite/internal/processors/resource/GridResourceLoggerInjector.java,15,3,74646911.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/query/GridCacheQueryRequest.java,94,15,18936186.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheSharedTtlCleanupManager.java,6,4,26273861.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheEventManager.java,58,11,16435016.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheMapEntry.java,466,35,1903708.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/query/GridCacheQueryManager.java,299,36,1903708.0
modules/core/src/main/java/org/apache/ignite/internal/processors/security/os/GridOsSecurityProcessor.java,17,3,74646911.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/CacheDefaultBinaryAffinityKeyMapper.java,5,4,18223642.0
modules/core/src/main/java/org/apache/ignite/internal/processors/continuous/GridContinuousHandler.java,23,8,28949274.0
modules/core/src/main/java/org/apache/ignite/cache/CacheAtomicityMode.java,7,6,1731831.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/DynamicCacheChangeRequest.java,53,13,5376421.0
modules/core/src/main/java/org/apache/ignite/internal/util/GridClientByteUtils.java,9,3,74646911.0
modules/core/src/main/java/org/apache/ignite/internal/binary/BinaryEnumCache.java,1,2,65851295.0
modules/core/src/main/java/org/apache/ignite/internal/suggestions/OsConfigurationSuggestions.java,1,1,29030857.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/tree/CacheDataTree.java,4,3,2513989.0
modules/core/src/main/java/org/apache/ignite/internal/processors/job/GridJobProcessor.java,95,21,3219229.0
modules/core/src/main/java/org/apache/ignite/internal/marshaller/optimized/OptimizedObjectOutputStream.java,2,2,9938993.0
modules/core/src/main/java/org/apache/ignite/internal/GridPluginContext.java,7,4,74646911.0
modules/core/src/main/java/org/apache/ignite/internal/managers/eventstorage/GridEventStorageManager.java,91,23,14506591.0
modules/core/src/main/java/org/apache/ignite/internal/util/lang/GridAbsPredicateX.java,3,2,74646911.0
modules/core/src/main/java/org/apache/ignite/internal/processors/continuous/GridContinuousProcessor.java,146,22,3733336.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/binary/IgniteBinaryImpl.java,7,2,19880973.0
modules/core/src/main/java/org/apache/ignite/spi/loadbalancing/roundrobin/RoundRobinGlobalLoadBalancer.java,29,6,39221305.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/dht/GridDhtEmbeddedFuture.java,28,4,20567275.0
modules/core/src/main/java/org/apache/ignite/internal/binary/BinaryMarshaller.java,13,6,29725497.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/dht/atomic/GridNearAtomicSingleUpdateFuture.java,31,13,10453369.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/persistence/filename/PdsConsistentIdProcessor.java,2,2,7193202.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/CacheMetricsImpl.java,35,16,1903708.0
modules/core/src/main/java/org/apache/ignite/internal/util/future/GridFutureChainListener.java,28,3,34402072.0
modules/core/src/main/java/org/apache/ignite/internal/GridTopic.java,26,13,18593129.0
modules/core/src/main/java/org/apache/ignite/configuration/IgniteConfiguration.java,286,35,7193202.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheSharedContext.java,129,23,5980828.0
modules/core/src/main/java/org/apache/ignite/internal/util/future/IgniteFinishedFutureImpl.java,4,3,74646911.0
modules/core/src/main/java/org/apache/ignite/internal/util/GridSpinBusyLock.java,10,2,73181437.0
modules/core/src/main/java/org/apache/ignite/spi/discovery/tcp/ipfinder/vm/TcpDiscoveryVmIpFinder.java,31,7,24788110.0
modules/core/src/main/java/org/apache/ignite/internal/processors/pool/PoolProcessor.java,11,7,22902977.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/dht/preloader/GridDhtPartitionsAbstractMessage.java,50,9,12365237.0
