file,uniq_changes,developers,age
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/CacheOffheapEvictionManager.java,9,6,6224884.0
modules/core/src/main/java/org/apache/ignite/events/EventAdapter.java,2,2,61935609.0
modules/core/src/main/java/org/apache/ignite/internal/processors/GridProcessorAdapter.java,36,8,3723714.0
modules/core/src/main/java/org/apache/ignite/internal/processors/continuous/GridContinuousBatchAdapter.java,2,2,6901214.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheConcurrentMapImpl.java,13,4,6224884.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/query/GridCacheQueryAdapter.java,110,16,5616817.0
modules/core/src/main/java/org/apache/ignite/internal/binary/BinaryTreeMapWriteReplacer.java,1,1,31778577.0
modules/core/src/main/java/org/apache/ignite/spi/discovery/tcp/internal/TcpDiscoveryNode.java,82,17,9755875.0
modules/core/src/main/java/org/apache/ignite/internal/util/lang/IgniteInClosureX.java,4,2,61935609.0
modules/core/src/main/java/org/apache/ignite/internal/processors/marshaller/MarshallerMappingTransport.java,2,2,7855973.0
modules/core/src/main/java/org/apache/ignite/internal/GridKernalState.java,4,3,61935609.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/CacheMetricsImpl.java,29,14,264531.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheMapEntry.java,456,31,1304189.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/extras/GridCacheEntryExtrasAdapter.java,14,4,61935609.0
modules/core/src/main/java/org/apache/ignite/internal/cluster/IgniteClusterImpl.java,17,7,10792283.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/CacheEntryInfoCollection.java,6,5,12358047.0
modules/core/src/main/java/org/apache/ignite/internal/util/GridReflectionCache.java,21,3,61935609.0
modules/core/src/main/java/org/apache/ignite/internal/util/GridSerializableCollection.java,12,2,61935609.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GatewayProtectedCacheProxy.java,1,1,1825196.0
modules/core/src/main/java/org/apache/ignite/internal/util/IgniteExceptionRegistry.java,13,5,10788387.0
modules/core/src/main/java/org/apache/ignite/internal/processors/service/GridServiceAssignmentsKey.java,8,2,61935609.0
modules/core/src/main/java/org/apache/ignite/internal/binary/BinaryWriteMode.java,10,4,15980364.0
modules/core/src/main/java/org/apache/ignite/internal/util/lang/gridfunc/ConcurrentDequeFactoryCallable.java,1,1,12060312.0
modules/core/src/main/java/org/apache/ignite/internal/processors/odbc/SqlListenerProtocolVersion.java,3,1,8973853.0
modules/core/src/main/java/org/apache/ignite/internal/util/lang/gridfunc/MapFactoryCallable.java,1,1,12060312.0
