file,uniq_changes,developers,age
modules/core/src/main/java/org/apache/ignite/internal/processors/marshaller/MappingAcceptedMessage.java,3,3,31542991.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/persistence/IgniteCacheDatabaseSharedManager.java,165,28,76023.0
modules/core/src/main/java/org/apache/ignite/internal/util/future/GridFinishedFuture.java,40,7,9742350.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/CacheLockCandidatesList.java,2,1,74222432.0
modules/core/src/main/java/org/apache/ignite/internal/util/GridSetWrapper.java,19,4,9742350.0
modules/core/src/main/java/org/apache/ignite/internal/util/tostring/GridToStringFieldDescriptor.java,1,3,132940198.0
modules/core/src/main/java/org/apache/ignite/internal/managers/deployment/GridDeployment.java,36,9,9742350.0
modules/core/src/main/java/org/apache/ignite/internal/processors/igfs/IgfsUtils.java,38,9,13741640.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheMvccCandidate.java,33,8,13741640.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/CacheObjectsReleaseFuture.java,1,1,54521816.0
modules/core/src/main/java/org/apache/ignite/internal/managers/discovery/GridDiscoveryManager.java,360,60,5526346.0
modules/core/src/main/java/org/apache/ignite/events/TransactionStateChangedEvent.java,1,1,21343068.0
modules/core/src/main/java/org/apache/ignite/internal/processors/authentication/IgniteAuthenticationProcessor.java,9,7,9156740.0
modules/core/src/main/java/org/apache/ignite/spi/failover/always/AlwaysFailoverSpi.java,41,13,13741640.0
modules/core/src/main/java/org/apache/ignite/internal/stat/IoStatisticsType.java,1,1,10111994.0
modules/core/src/main/java/org/apache/ignite/internal/managers/deployment/GridDeploymentStoreAdapter.java,20,3,112616652.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/near/GridNearGetResponse.java,69,12,12263181.0
modules/core/src/main/java/org/apache/ignite/internal/processors/datastreamer/DataStreamerFuture.java,4,3,59781926.0
modules/core/src/main/java/org/apache/ignite/configuration/DeploymentMode.java,24,2,113861562.0
modules/core/src/main/java/org/apache/ignite/internal/mxbean/IgniteStandardMXBean.java,5,5,17426001.0
modules/core/src/main/java/org/apache/ignite/configuration/DataRegionConfiguration.java,6,5,146951.0
modules/core/src/main/java/org/apache/ignite/internal/processors/configuration/distributed/DistributedProperty.java,3,1,594775.0
modules/core/src/main/java/org/apache/ignite/internal/util/StripedCompositeReadWriteLock.java,7,6,9742350.0
modules/core/src/main/java/org/apache/ignite/internal/GridKernalContextImpl.java,142,40,1112845.0
modules/core/src/main/java/org/apache/ignite/internal/events/DiscoveryCustomEvent.java,9,6,36892842.0
modules/core/src/main/java/org/apache/ignite/spi/encryption/noop/NoopEncryptionSpi.java,1,1,16159144.0
modules/core/src/main/java/org/apache/ignite/internal/util/nio/GridNioSessionMetaKey.java,9,5,65474810.0
modules/core/src/main/java/org/apache/ignite/internal/binary/BinaryInternalMapper.java,1,1,100552927.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/transactions/TransactionMetricsAdapter.java,4,4,14512616.0
modules/core/src/main/java/org/apache/ignite/internal/util/lang/gridfunc/CacheEntryGetValueClosure.java,2,2,13741640.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/near/GridNearTxFastFinishFuture.java,5,5,18177057.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/dr/GridOsCacheDrManager.java,33,8,14678603.0
modules/core/src/main/java/org/apache/ignite/spi/IgniteSpiAdapter.java,128,28,15028896.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/tree/SearchRow.java,2,2,19262481.0
modules/core/src/main/java/org/apache/ignite/internal/processors/resource/GridResourceServiceInjector.java,20,3,113861562.0
modules/core/src/main/java/org/apache/ignite/internal/managers/communication/GridIoManager.java,176,32,9156740.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/mvcc/MvccVersionAware.java,1,1,19262481.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/near/IgniteTxMappingsSingleImpl.java,3,2,18177057.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/PartitionUpdateCounter.java,3,3,12175659.0
modules/core/src/main/java/org/apache/ignite/internal/processors/datastreamer/DataStreamProcessor.java,30,17,31432159.0
modules/core/src/main/java/org/apache/ignite/spi/discovery/tcp/messages/TcpDiscoveryDummyWakeupMessage.java,1,1,5258487.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/dht/topology/GridDhtLocalPartition.java,10,8,11988333.0
modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java,238,64,92130.0
modules/core/src/main/java/org/apache/ignite/cache/eviction/AbstractEvictionPolicy.java,5,5,30475602.0
modules/core/src/main/java/org/apache/ignite/internal/util/lang/gridfunc/ConcurrentHashSetFactoryCallable.java,1,1,63986265.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/near/GridNearOptimisticSerializableTxPrepareFuture.java,41,16,11068279.0
modules/core/src/main/java/org/apache/ignite/logger/NullLogger.java,9,3,42325970.0
modules/core/src/main/java/org/apache/ignite/internal/binary/streams/BinaryAbstractStream.java,6,2,102379268.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/GridDistributedLockResponse.java,66,11,12263181.0
modules/core/src/main/java/org/apache/ignite/marshaller/jdk/JdkMarshallerObjectOutputStream.java,2,2,113861562.0
modules/core/src/main/java/org/apache/ignite/spi/discovery/tcp/messages/TcpDiscoveryJoinRequestMessage.java,11,6,70064941.0
modules/core/src/main/java/org/apache/ignite/internal/managers/failover/GridFailoverManager.java,23,6,57685214.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridNoStorageCacheMap.java,12,4,58150837.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/extras/GridCacheObsoleteEntryExtras.java,18,4,82768956.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/CacheGroupContext.java,40,16,1390598.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/dht/ClientCacheDhtTopologyFuture.java,4,3,12263181.0
modules/core/src/main/java/org/apache/ignite/spi/indexing/noop/NoopIndexingSpi.java,7,5,59331375.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/persistence/tree/reuse/LongListReuseBag.java,1,1,27776289.0
modules/core/src/main/java/org/apache/ignite/internal/IgniteDiagnosticPrepareContext.java,4,3,15120200.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/tree/CacheDataRowStore.java,6,5,2935704.0
modules/core/src/main/java/org/apache/ignite/internal/stat/IoStatisticsManager.java,2,1,6572008.0
modules/core/src/main/java/org/apache/ignite/thread/OomExceptionHandler.java,1,1,31432159.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/dht/preloader/GridDhtPartitionExchangeId.java,50,12,12263181.0
modules/core/src/main/java/org/apache/ignite/internal/stat/IoStatisticsHolderNoOp.java,1,1,10111994.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheContext.java,350,42,2586847.0
modules/core/src/main/java/org/apache/ignite/internal/util/GridListSet.java,17,4,9742350.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/dht/GridPartitionedSingleGetFuture.java,76,25,2586847.0
modules/core/src/main/java/org/apache/ignite/internal/util/IgniteTree.java,7,4,45244611.0
modules/core/src/main/java/org/apache/ignite/compute/ComputeJobAdapter.java,8,7,9742350.0
modules/core/src/main/java/org/apache/ignite/internal/util/nio/GridNioFilterAdapter.java,6,3,18177057.0
modules/core/src/main/java/org/apache/ignite/internal/managers/deployment/GridDeploymentManager.java,49,8,20985165.0
modules/core/src/main/java/org/apache/ignite/internal/processors/plugin/IgnitePluginProcessor.java,40,15,9742350.0
modules/core/src/main/java/org/apache/ignite/marshaller/jdk/JdkMarshallerInputStreamWrapper.java,2,2,113861562.0
modules/core/src/main/java/org/apache/ignite/internal/processors/task/GridTaskThreadContextKey.java,13,5,20546381.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/affinity/GridCacheAffinityImpl.java,44,8,58150837.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/tree/PendingEntryLeafIO.java,2,1,50279741.0
modules/core/src/main/java/org/apache/ignite/internal/IgniteInterruptedCheckedException.java,3,3,13741640.0
modules/core/src/main/java/org/apache/ignite/internal/managers/communication/GridIoMessage.java,46,8,52596271.0
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/CacheEntryPredicateHasValue.java,6,1,128833148.0
